VIC,197,Aston,30188,Divisional Office (PREPOLL),28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,21,-9.57
VIC,197,Aston,30188,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,6,0.44
VIC,197,Aston,2950,Fairhills,28116,RAYMOND,Steve,1,N,N,GRN,The Greens,163,3.46
VIC,197,Aston,2950,Fairhills,28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,61,-0.53
VIC,197,Aston,2950,Fairhills,28212,HUPPERT,Daniel,3,N,N,IND,Independent,38,2.44
VIC,197,Aston,2950,Fairhills,28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,19,1.22
VIC,197,Aston,2950,Fairhills,28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,42,2.69
VIC,197,Aston,2950,Fairhills,28875,TUDGE,Alan,6,Y,Y,LP,Liberal,647,0.36
VIC,197,Aston,2950,Fairhills,28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,589,0.14
VIC,197,Aston,2950,Fairhills,999,Informal,Informal,999,N,N,,Informal,91,0.02
VIC,197,Aston,2951,Ferntree Gully West,28116,RAYMOND,Steve,1,N,N,GRN,The Greens,178,0.8
VIC,197,Aston,2951,Ferntree Gully West,28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,71,0.32
VIC,197,Aston,2951,Ferntree Gully West,28212,HUPPERT,Daniel,3,N,N,IND,Independent,86,4.56
VIC,197,Aston,2951,Ferntree Gully West,28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,36,1.91
VIC,197,Aston,2951,Ferntree Gully West,28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,55,2.92
VIC,197,Aston,2951,Ferntree Gully West,28875,TUDGE,Alan,6,Y,Y,LP,Liberal,832,0.09
VIC,197,Aston,2951,Ferntree Gully West,28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,627,-0.44
VIC,197,Aston,2951,Ferntree Gully West,999,Informal,Informal,999,N,N,,Informal,80,-0.45
VIC,197,Aston,31743,Heany Park,28116,RAYMOND,Steve,1,N,N,GRN,The Greens,203,1.93
VIC,197,Aston,31743,Heany Park,28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,75,-0.25
VIC,197,Aston,31743,Heany Park,28212,HUPPERT,Daniel,3,N,N,IND,Independent,194,5.21
VIC,197,Aston,31743,Heany Park,28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,48,1.29
VIC,197,Aston,31743,Heany Park,28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,82,2.2
VIC,197,Aston,31743,Heany Park,28875,TUDGE,Alan,6,Y,Y,LP,Liberal,1825,-3.06
VIC,197,Aston,31743,Heany Park,28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,1298,-0.66
VIC,197,Aston,31743,Heany Park,999,Informal,Informal,999,N,N,,Informal,195,-0.87
VIC,197,Aston,31744,Karoo,28116,RAYMOND,Steve,1,N,N,GRN,The Greens,189,2.38
VIC,197,Aston,31744,Karoo,28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,80,-0.41
VIC,197,Aston,31744,Karoo,28212,HUPPERT,Daniel,3,N,N,IND,Independent,34,1.09
VIC,197,Aston,31744,Karoo,28748,MOORE,Joel,4,N,N,LDP,Liberal Democrats,34,1.09
VIC,197,Aston,31744,Karoo,28205,LAVIN,Rosemary,5,N,N,AJP,Animal Justice Party,36,1.16
VIC,197,Aston,31744,Karoo,28875,TUDGE,Alan,6,Y,Y,LP,Liberal,1825,2.84
VIC,197,Aston,31744,Karoo,28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,915,-1.1
VIC,197,Aston,31744,Karoo,999,Informal,Informal,999,N,N,,Informal,109,-0.39
VIC,197,Aston,2957,Kent Park,28116,RAYMOND,Steve,1,N,N,GRN,The Greens,87,2.71
VIC,197,Aston,2957,Kent Park,28872,MARTIN,Daniel Edward,2,N,N,FFP,Family First Party,24,0.49
